,address_id,house_number,block_number,building_name,street_name,locality,landmark,state,division,district,taluka,village,pincode
0,0003071966defc3b7df554c16ed7ede9,,,,Delanwadi Road,Delanwadi,,MAHARASHTRA,Nagpur,Chandrapur,Brahmapuri,Brahmapuri (M Cl),441206
1,0004ff6e78e895c24699ec4bd6db0af6,1,,PARVATI NIWAS,SUHASINI PAWASKAR ROAD,DAHISAR EAST,BHOIR COMPOUND,MAHARASHTRA,Konkan,Mumbai Suburban,Borivali,Borivali,400068
2,000872b98bb214e19b5f537cdd057e4d,,,,Modi Patel Road,Bhayander west,,MAHARASHTRA,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401101
3,000910c00f26b4966473f077a6bcd6a7,,,,17th Road,Khar west,,MAHARASHTRA,Konkan,Mumbai Suburban,Mumbai,Greater Mumbai (M Corp.) (Part) (802794),400052
4,000a0a4cc44ba4fe036bae13c985b3e5,,,,HUDKESWAR POLIC STATION TO PIPLA ROAD,PIPLA BESA,,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Rural),Pipla,440024
5,000b4f99d64d76142290fbf6136eadf5,,,,CHINCHPADA ROAD NEAR BALAJI CHOWK,KALYAN,,MAHARASHTRA,Konkan,Thane,Ambarnath,Chinchpada,421306
6,000c298316b692b745ab7255341ca1c1,,6/D,METRO HOUSE,MAHAKAVI BHUSAN MARG,COLABA,NEAR REGAL CINEMA,MAHARASHTRA,Konkan,Mumbai City,Ward ABCD,ABCD-400001,400001
7,000c5cf3d4635a5056dc00f3684edcc8,12,,SARTHAK,CHINCHLE CHOWK,CHINCHOLE CHOK,YAMAHA SHOWROOM,MAHARASHTRA,Amravati,Buldana,Buldana,buldana (MCL),443001
8,000c698389779db0eb169bff80d348dc,,,,PAITHAN ROAD,NAKSHATRAWADI,,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Aurangabad (M Corp.),431001
9,000e98dd0e0efd101367e6210ce914df,,-,VENUS PLAZA,VMV ROAD,SHEGAON NAKA SQUARE,SHEGAON NAKA,MAHARASHTRA,Amravati,Amravati,Amravati,Amravati (M Corp.),444602
10,000e9a8eab1ca4ac93799aef2df95f37,,0,SAI SADAN BLDG,BHARAT COLONY,CHANDAN BAUG,BHARAT COLONY,MAHARASHTRA,Konkan,Thane,Bhiwandi,Bhiwandi (M Corp.),421302
11,000ee84b6cc189e78a0e623f1b6c8bfb,16,,Dream Residency,PIONEER CHS,Gawande Layout Sneh Nagar,ICICI Bank,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440015
12,000f02a6f2d34e232c88519d3987fe3a,,1,PRATIK BUNGLOW,"RAMESHWAR NAGAR, OLD SAIKEHDA ROAD","JAIL ROAD, NASHIK ROAD",SAILANI STOP,MAHARASHTRA,Nashik,Nashik,Nashik,Jail Road,422101
13,001071c414db4704418fd6c761e8450a,,Gala No.06,Ramkrushna Apartment,-,Saralgaon,Saralgaon,MAHARASHTRA,Konkan,Thane,Murbad,Saralgaon,421401
14,0012761d86c50b8820335555f9b68af3,,,,konkan,konkan,,MAHARASHTRA,Konkan,Mumbai City,Mumbai City,Mumbai City,400026
15,0014fd72eaf32c992006526311c448b9,,245,MATRO KRUPA BUNGLOW,goveli road,ganesh mandir,titwala,MAHARASHTRA,Konkan,Thane,Kalyan,Titwala,421605
16,0018cefadabd8ae104c67349628b1ed4,,,,MG ROAD SHIVAJI CHOWK,MARUTI MANDIR,,MAHARASHTRA,Nashik,Nashik,Nashik,Bhagur (M Cl),422502
17,001e8003be62578aca3c86eb9f5b530e,,,,Nagpur,Nagur,,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440008
18,00209e83b6282ae3b95ee3e55479f18c,,"H. NO. A-1/11, G. NO. 137,","VARAD NIVAS,",DEOLAI ROAD,SATARA PARISAR,VASANT VIHAR,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Devlai,431002
19,0020c766be3a4b4a964037bea9b59ce4,,,,Nashik Pune Road,Dwarka,,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422001
20,00220dc8394e44b98b8720c4ba0748d2,,1,Smruti Building,M V Pandloskar Marg,Vile Parle (E),Near Shivaji Vidyalaya,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400057
21,002557e722c8537b2cbb4e089375e12d,3rd Floor,,Pratik Arcade,Nashik Pune Road,Opp. Vidyut Bhavan,Nashik Road,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik Road,422101
22,0029307b13dcb85c861af3511e79edc4,,Office No. 3,Star Zone,Nashik Pune Road,Nashik Road,Above Passport Office,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422101
23,002943b91e3eb777df6a96918e55bb91,109,,Embassey Centre,Nariman Point,Mumbai,Maker Chamber,MAHARASHTRA,Konkan,Mumbai City,Mumbai City,Mumbai City,400021
24,002c37331e78cce2d802e2ee8f603ec6,,FLAT NO 8,SAI PALACE APARTMENT,MAHAJAN NAGAR,AMBAD,AMBAD,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422010
25,00335805f8d600a8534fc04e66be8b09,,16,ARUN CHAMBERS,TARDEO ROAD,TARDEO,NEXT TO AC MARKET,MAHARASHTRA,Konkan,Mumbai City,Mumbai City,Mumbai City,400034
26,0035ff7f116880cfcc410b05ba953697,,,,junction of 7th & 4th Road,Santacruz East,,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400055
27,003b6926f40b4deea7e653325daaf776,,40,YESHWANT STADIUM,DHANTOLI,DHANTOLI,YESHWANT STADIUM,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440012
28,003bf43d9d1e23239edb0ec7f1d808b1,,Ground Floor,Times Square,Mathuradas Wasanji Road,Andheri Kurla Road,Opposite Mittal Industrial Estate,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400059
29,003dd9f361d3439a342ca3a12ff0dfd3,,,,KANAKIA ROAD,"BEVARLY PARK, MIRA ROAD (E)",,MAHARASHTRA,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107
30,003e9099629daaca66480694001966aa,,,,NASHIK,NASHIK,,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422009
31,0040388659f8f38c8b4a6f0c49b7149c,,Plot No. 05,Infront of Cotton Market,Cotton Market,Paratwada,Paratwada,MAHARASHTRA,Amravati,Amravati,Achalpur,,444805
32,004067a1ba2889d9b437039c5bfa7988,,A WING,DUDHWALA HOUSE,"292, BELLASIS ROAD",MUMBAI CENTRAL,NEAR ST DEPOT,MAHARASHTRA,Konkan,Mumbai City,Ward E,E-400008,400008
33,00442458190c5a1d093ff4860b2afd80,,,,Pimpalgaon Road,Pimpalgaon,,MAHARASHTRA,Nagpur,Wardha,Hinganghat,Pimpalgaon (534386),442301
34,0047be200f28903990efbf1854fac681,,,,Pokhran Road,POKHRAN ROAD,,MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400606
35,0047c4bf34028fc1847ce5f3ef3e849f,,PLOT NO 52,19 EAST,SECTOR 19A,NERUL,OPP. APOLLO HOSPITAL,MAHARASHTRA,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706
36,004b0a7b78b98f62c63bfc2afa9a89e2,,,,100 FEET ROAD,MIRAROAD EAST,,MAHARASHTRA,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107
37,004c7ab11da4ca850fd80989cba5a7ba,,OFFICE NO.4,GOKUL VIHAR,GROUND FLOOR,TOKARKHADA,SILVASSA,MAHARASHTRA,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Dadra & Nagar Haveli,,396230
38,005b10a1330cbe8f6fe36d36f0f28ba7,,3RD FLOOR,THE EMERALD PLOT NO 195B,SECTOR 12,VASHI,ABOVE ICICI BANK,MAHARASHTRA,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400703
39,005cdec77a8e4bf145f72dd670421441,,,,"Opp to Flora Heigts, Infron of Aashadeep Mangal Karyalaya, Amrutdham.",AMRUTDHAM,,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422003
40,0061f4962cc56fdf805f7f3f757ceb6f,,PLOT NO 63 70 AND 71,NARPOLI,NARPOLI,VITHAL NAGAR,NR RATAN RALKIES,MAHARASHTRA,Konkan,Thane,Bhiwandi,Bhiwandi (M Corp.),421302
41,0062e25f18f094dfd93493e0053e00a1,,1ST FLOOR A WING,ADITYA,GULMOHAR CROSS ROAD NO 7,VILE PARLE WEST,JVPD SCHEME,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400049
42,006339afb97d9bf3b176163396ca4e6a,First Floor,,Suryakiran,Plot No - 5,Sector- 5,New Panvel,MAHARASHTRA,Konkan,Raigarh,Panvel,New Panvel,410206
43,0065b1dbe50dcc9dc918f6a08e07fea5,,"C-1 , F P No 113-114",Prashal Society,Sant Janabai Road,TPS V,TPS V,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400057
44,0066210e54e7c649490cb7ceb3c7d5da,,802 B WING,GRANDE PALLADIUM,175 CST ROAD,SANTACRUZ EAST,KALINA,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400098
45,006853dd3ebf5bdd5e3b503e7c75e708,,,,36.6 M. WIDE V.N. PURAV MARG,CHEMBUR,,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400071
46,006e18dd2a5ef73171af2fbcdf5161df,,1,SAYALI BUNGLOW,VINAYAK COLONY,SAVARKAR NAGAR GANGAPUR ROAD,SHANKAR NAGAR,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422013
47,00702fe95a623d3d6cf4c36185d55ef7,SHREE VILLA,,GAURAV GALAXY PHASE II,VIJAY PARK,MIRA ROAD EAST,NEAR AXIS BANK,MAHARASHTRA,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107
48,0078566174d935850689bbd6f0687080,,,,"DHANUKARWADI, GOKHALE ROAD",KANDIVALI WEST,,MAHARASHTRA,Konkan,Mumbai Suburban,Borivali,Borivali,400067
49,0078e8ff2ceaccce7baa1293d7a4f0b0,,,,DIVA SHIL ROAD,DIVA,,MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400612
50,007962d7742a8138b93e6c05613acec2,,2nd Floor,Spring Avenue,Club Road,Khadakpada,Opp. KDMC 'B' Ward Office,MAHARASHTRA,Konkan,Thane,Kalyan,Kalyan,421301
51,007b3f60788d730b8ef1e3b9d0698571,,Survey No.17/18,Royal Group,Mhatardi Gaon Road,Near Gaikar Bunglow,"Dativli, Diva East",MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400612
52,007d0e41440f3b48cac17e456473f716,,,,Kalyan - Shil Phata Road,Dombivali East,,MAHARASHTRA,Konkan,Thane,Kalyan,Dawadi,421201
53,007d7ee7a3029eb3f706546e86eb634c,,"ROOM NO 402,","HARSHADA CHS, 4TH FLOOR","MANISHA NAGAR GATE NO 1,",KALWA WEST,NEAR SWIMMING POOL,MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400605
54,007e8d2e5bdc24fb8d1bb4dc0597c1c2,,A 21,RANJIT CHSL,SN ROAD,MULUND WEST,OPP TAMBE NAGAR,MAHARASHTRA,Konkan,Mumbai Suburban,Mumbai,Greater Mumbai (M Corp.) (Part) (802794),400080
55,00810ef77b053eb4a81dbba0c4e5c5f5,,,,VASIND BHATSAI ROAD,VASIND,,MAHARASHTRA,Konkan,Thane,Shahapur,,421601
56,0083992c795390f8fd7e918b166c8cf5,,PLOT NO 44,SHREEJI GROUP,KARMAYOGI NAGAR,NEAR GOVIND NAGAR,JOGGING TRACK,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422009
57,0083b2f9cb61f2f1981cbe1931c31ead,,202 SECOND FLOOR,SAHYADRI BUSINESS PARK,TRIMBAK ROAD,MICO CIRCLE,ABOVE EKBOTE FURNITURE,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422002
58,0083e75c783daa59edac1278ebf72ba3,,"OFFICE NO 5, 3RD FLOOR",KP TOWER,NEAR PRABHU EMPIRE,RAVI SHANKAR MARG,BEHIND INOOX,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422011
59,00859d89354ef90d8f974c01eccb6483,,Survey No.39/1A,Shree Sai Vastu Hills Booking Office,Titwala Road,Nandap,Opposite Z. P. School,MAHARASHTRA,Konkan,Thane,Kalyan,Nandap,421605
60,0087ca5c81850bb3f2b9f06bd5f5ef8a,,,,ANDHERI,VILE PARLE (E),,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400057
