,rera_id,building_id,parking_type,count_booked
0,P51600022802,,Covered Parking ( In Numbers),0
1,P51700010990,,Covered Parking ( In Numbers),0
2,P51700014205,,Covered Parking ( In Numbers),0
3,P51700015595,,Covered Parking ( In Numbers),0
4,P51700019351,,Covered Parking ( In Numbers),0
5,P51700021630,,Covered Parking ( In Numbers),0
6,P51700032634,,Covered Parking ( In Numbers),0
7,P51800000296,,Covered Parking ( In Numbers),0
8,P51800002223,,Covered Parking ( In Numbers),0
9,P51800002668,,Covered Parking ( In Numbers),0
10,P51800003235,,Covered Parking ( In Numbers),0
11,P51800004201,,Covered Parking ( In Numbers),0
12,P51800004930,,Covered Parking ( In Numbers),0
13,P51800005243,,Covered Parking ( In Numbers),0
14,P51800008451,,Covered Parking ( In Numbers),0
15,P51800024361,,Covered Parking ( In Numbers),0
16,P51800029480,,Covered Parking ( In Numbers),0
17,P51800032000,,Covered Parking ( In Numbers),0
18,P51800032659,,Covered Parking ( In Numbers),0
19,P52000001567,,Covered Parking ( In Numbers),0
20,P49500000001,,Number of Garages ( In Numbers),0
21,P49500000001,,Covered Parking ( In Numbers),0
22,P49500000002,,Number of Garages ( In Numbers),0
23,P49500000002,,Covered Parking ( In Numbers),0
24,P49500000003,,Number of Garages ( In Numbers),0
25,P49500000003,,Covered Parking ( In Numbers),0
26,P49500000004,,Number of Garages ( In Numbers),0
27,P49500000004,,Covered Parking ( In Numbers),0
28,P49500000005,,Number of Garages ( In Numbers),0
29,P49500000005,,Covered Parking ( In Numbers),0
30,P49500000006,,Number of Garages ( In Numbers),0
31,P49500000006,,Covered Parking ( In Numbers),0
32,P49500000007,,Number of Garages ( In Numbers),0
33,P49500000007,,Covered Parking ( In Numbers),0
34,P49500000008,,Number of Garages ( In Numbers),0
35,P49500000008,,Covered Parking ( In Numbers),0
36,P49500000009,,Number of Garages ( In Numbers),0
37,P49500000009,,Covered Parking ( In Numbers),0
38,P49500000010,,Number of Garages ( In Numbers),0
39,P49500000010,,Covered Parking ( In Numbers),0
40,P49500000011,,Number of Garages ( In Numbers),0
41,P49500000011,,Covered Parking ( In Numbers),0
42,P49500000012,,Number of Garages ( In Numbers),NA
43,P49500000012,,Covered Parking ( In Numbers),NA
44,P49500000013,,Number of Garages ( In Numbers),0
45,P49500000013,,Covered Parking ( In Numbers),0
46,P49500000014,,Number of Garages ( In Numbers),0
47,P49500000014,,Covered Parking ( In Numbers),0
48,P49500000015,,Number of Garages ( In Numbers),0
49,P49500000015,,Covered Parking ( In Numbers),0
50,P49500000016,,Number of Garages ( In Numbers),0
51,P49500000016,,Covered Parking ( In Numbers),0
52,P49500000017,,Number of Garages ( In Numbers),0
53,P49500000017,,Covered Parking ( In Numbers),0
54,P49500000018,,Number of Garages ( In Numbers),0
55,P49500000018,,Covered Parking ( In Numbers),0
56,P49500000019,,Number of Garages ( In Numbers),0
57,P49500000019,,Covered Parking ( In Numbers),0
58,P49500000020,,Number of Garages ( In Numbers),0
59,P49500000020,,Covered Parking ( In Numbers),0
60,P49500000021,,Number of Garages ( In Numbers),0
61,P49500000021,,Covered Parking ( In Numbers),0
62,P49500000022,,Number of Garages ( In Numbers),0
63,P49500000022,,Covered Parking ( In Numbers),0
64,P49500000023,,Number of Garages ( In Numbers),0
65,P49500000023,,Covered Parking ( In Numbers),0
66,P49500000024,,Number of Garages ( In Numbers),0
67,P49500000024,,Covered Parking ( In Numbers),0
68,P49500000025,,Number of Garages ( In Numbers),0
69,P49500000025,,Covered Parking ( In Numbers),0
70,P49500000026,,Number of Garages ( In Numbers),0
71,P49500000026,,Covered Parking ( In Numbers),0
72,P49500000027,,Number of Garages ( In Numbers),0
73,P49500000027,,Covered Parking ( In Numbers),0
74,P49500000028,,Number of Garages ( In Numbers),0
75,P49500000028,,Covered Parking ( In Numbers),0
76,P49500000029,,Number of Garages ( In Numbers),0
77,P49500000029,,Covered Parking ( In Numbers),0
78,P49500000030,,Number of Garages ( In Numbers),0
79,P49500000030,,Covered Parking ( In Numbers),0
80,P49500000031,,Number of Garages ( In Numbers),0
81,P49500000031,,Covered Parking ( In Numbers),0
82,P49500000032,,Number of Garages ( In Numbers),0
83,P49500000032,,Covered Parking ( In Numbers),0
84,P49500000033,,Number of Garages ( In Numbers),0
85,P49500000033,,Covered Parking ( In Numbers),0
86,P49500000034,,Number of Garages ( In Numbers),0
87,P49500000034,,Covered Parking ( In Numbers),0
88,P49500000035,,Number of Garages ( In Numbers),0
89,P49500000035,,Covered Parking ( In Numbers),0
90,P49500000036,,Number of Garages ( In Numbers),0
91,P49500000036,,Covered Parking ( In Numbers),0
92,P49500000037,,Number of Garages ( In Numbers),0
93,P49500000037,,Covered Parking ( In Numbers),0
94,P49500000038,,Number of Garages ( In Numbers),0
95,P49500000038,,Covered Parking ( In Numbers),0
96,P49500000039,,Number of Garages ( In Numbers),0
97,P49500000039,,Covered Parking ( In Numbers),0
98,P49600000001,,Number of Garages ( In Numbers),0
99,P49600000001,,Covered Parking ( In Numbers),26
100,P49600000002,,Number of Garages ( In Numbers),0
101,P49600000002,,Covered Parking ( In Numbers),0
102,P49600000003,,Number of Garages ( In Numbers),0
103,P49600000003,,Covered Parking ( In Numbers),0
104,P49600000004,,Number of Garages ( In Numbers),0
105,P49600000004,,Covered Parking ( In Numbers),13
106,P49600000005,,Number of Garages ( In Numbers),0
107,P49600000005,,Covered Parking ( In Numbers),0
108,P49600000006,,Number of Garages ( In Numbers),0
109,P49600000006,,Covered Parking ( In Numbers),54
110,P49600000007,,Number of Garages ( In Numbers),0
111,P49600000007,,Covered Parking ( In Numbers),0
112,P49600000008,,Number of Garages ( In Numbers),0
113,P49600000008,,Covered Parking ( In Numbers),35
114,P49600000009,,Number of Garages ( In Numbers),0
115,P49600000009,,Covered Parking ( In Numbers),0
116,P49600000010,,Number of Garages ( In Numbers),0
117,P49600000010,,Covered Parking ( In Numbers),11
118,P49600000011,,Number of Garages ( In Numbers),0
119,P49600000011,,Covered Parking ( In Numbers),0
120,P49600000012,,Number of Garages ( In Numbers),0
121,P49600000012,,Covered Parking ( In Numbers),0
122,P49600000013,,Number of Garages ( In Numbers),0
123,P49600000013,,Covered Parking ( In Numbers),11
124,P49600000014,,Number of Garages ( In Numbers),0
125,P49600000014,,Covered Parking ( In Numbers),0
126,P49600000015,,Number of Garages ( In Numbers),0
127,P49600000015,,Covered Parking ( In Numbers),74
128,P49600000016,,Number of Garages ( In Numbers),0
129,P49600000016,,Covered Parking ( In Numbers),0
130,P49600000017,,Number of Garages ( In Numbers),0
131,P49600000017,,Covered Parking ( In Numbers),25
132,P49600000018,,Number of Garages ( In Numbers),0
133,P49600000018,,Covered Parking ( In Numbers),0
134,P49600000019,,Number of Garages ( In Numbers),0
135,P49600000019,,Covered Parking ( In Numbers),0
136,P49600000020,,Number of Garages ( In Numbers),0
137,P49600000020,,Covered Parking ( In Numbers),0
138,P49600000021,,Number of Garages ( In Numbers),0
139,P49600000021,,Covered Parking ( In Numbers),0
140,P49600000022,,Number of Garages ( In Numbers),0
141,P49600000022,,Covered Parking ( In Numbers),0
142,P49600000023,,Number of Garages ( In Numbers),0
143,P49600000023,,Covered Parking ( In Numbers),0
144,P49600000024,,Number of Garages ( In Numbers),0
145,P49600000024,,Covered Parking ( In Numbers),0
146,P49600000025,,Number of Garages ( In Numbers),0
147,P49600000025,,Covered Parking ( In Numbers),0
148,P49600000026,,Number of Garages ( In Numbers),0
149,P49600000026,,Covered Parking ( In Numbers),0
150,P49600000027,,Number of Garages ( In Numbers),0
151,P49600000027,,Covered Parking ( In Numbers),0
152,P49600000028,,Number of Garages ( In Numbers),0
153,P49600000028,,Covered Parking ( In Numbers),10
154,P49600000029,,Number of Garages ( In Numbers),0
155,P49600000029,,Covered Parking ( In Numbers),0
156,P49600000030,,Number of Garages ( In Numbers),0
157,P49600000030,,Covered Parking ( In Numbers),11
158,P49600000031,,Number of Garages ( In Numbers),0
159,P49600000031,,Covered Parking ( In Numbers),0
160,P49600000032,,Number of Garages ( In Numbers),0
161,P49600000032,,Covered Parking ( In Numbers),0
162,P49600000033,,Number of Garages ( In Numbers),0
163,P49600000033,,Covered Parking ( In Numbers),10
164,P49600000034,,Number of Garages ( In Numbers),0
165,P49600000034,,Covered Parking ( In Numbers),0
166,P49600000035,,Number of Garages ( In Numbers),0
167,P49600000035,,Covered Parking ( In Numbers),0
168,P49600000036,,Number of Garages ( In Numbers),0
169,P49600000036,,Covered Parking ( In Numbers),0
170,P49600000037,,Number of Garages ( In Numbers),0
171,P49600000037,,Covered Parking ( In Numbers),0
172,P49600000038,,Number of Garages ( In Numbers),NA
173,P49600000038,,Covered Parking ( In Numbers),0
174,P49600000039,,Number of Garages ( In Numbers),0
175,P49600000039,,Covered Parking ( In Numbers),0
176,P49600000040,,Number of Garages ( In Numbers),0
177,P49600000040,,Covered Parking ( In Numbers),15
178,P49600000041,,Number of Garages ( In Numbers),0
179,P49600000041,,Covered Parking ( In Numbers),49
180,P49600000042,,Number of Garages ( In Numbers),0
181,P49600000042,,Covered Parking ( In Numbers),0
182,P49600000043,,Number of Garages ( In Numbers),0
183,P49600000043,,Covered Parking ( In Numbers),119
184,P49600000044,,Number of Garages ( In Numbers),0
185,P49600000044,,Covered Parking ( In Numbers),0
186,P49600000045,,Number of Garages ( In Numbers),0
187,P49600000045,,Covered Parking ( In Numbers),0
188,P49600000046,,Number of Garages ( In Numbers),0
189,P49600000046,,Covered Parking ( In Numbers),0
190,P49600000047,,Number of Garages ( In Numbers),0
191,P49600000047,,Covered Parking ( In Numbers),0
192,P49600000048,,Number of Garages ( In Numbers),0
193,P49600000048,,Covered Parking ( In Numbers),0
194,P49600000049,,Number of Garages ( In Numbers),0
195,P49600000049,,Covered Parking ( In Numbers),0
196,P49600000050,,Number of Garages ( In Numbers),0
197,P49600000050,,Covered Parking ( In Numbers),58
198,P49600000051,,Number of Garages ( In Numbers),0
199,P49600000051,,Covered Parking ( In Numbers),0
200,P49600000052,,Number of Garages ( In Numbers),0
201,P49600000052,,Covered Parking ( In Numbers),0
202,P49600000053,,Number of Garages ( In Numbers),0
203,P49600000053,,Covered Parking ( In Numbers),0
204,P49600000054,,Number of Garages ( In Numbers),0
205,P49600000054,,Covered Parking ( In Numbers),0
206,P49600000055,,Number of Garages ( In Numbers),0
207,P49600000055,,Covered Parking ( In Numbers),0
208,P49600000056,,Number of Garages ( In Numbers),0
209,P49600000056,,Covered Parking ( In Numbers),0
210,P49600000057,,Number of Garages ( In Numbers),0
211,P49600000057,,Covered Parking ( In Numbers),0
212,P49600000058,,Number of Garages ( In Numbers),0
213,P49600000058,,Covered Parking ( In Numbers),0
214,P49600000059,,Number of Garages ( In Numbers),0
215,P49600000059,,Covered Parking ( In Numbers),0
216,P49600000060,,Number of Garages ( In Numbers),0
217,P49600000060,,Covered Parking ( In Numbers),0
218,P49600000061,,Number of Garages ( In Numbers),0
219,P49600000061,,Covered Parking ( In Numbers),0
220,P49600000062,,Number of Garages ( In Numbers),0
221,P49600000062,,Covered Parking ( In Numbers),0
222,P49600000063,,Number of Garages ( In Numbers),0
223,P49600000063,,Covered Parking ( In Numbers),0
224,P49600000064,,Number of Garages ( In Numbers),0
225,P49600000064,,Covered Parking ( In Numbers),0
226,P49600000065,,Number of Garages ( In Numbers),0
227,P49600000065,,Covered Parking ( In Numbers),0
228,P49600000066,,Number of Garages ( In Numbers),0
229,P49600000066,,Covered Parking ( In Numbers),0
230,P49600000067,,Number of Garages ( In Numbers),0
231,P49600000067,,Covered Parking ( In Numbers),32
232,P49600000068,,Number of Garages ( In Numbers),0
233,P49600000068,,Covered Parking ( In Numbers),0
234,P49600000069,,Number of Garages ( In Numbers),0
235,P49600000069,,Covered Parking ( In Numbers),0
236,P49600000070,,Number of Garages ( In Numbers),0
237,P49600000070,,Covered Parking ( In Numbers),0
238,P49600000071,,Number of Garages ( In Numbers),0
239,P49600000071,,Covered Parking ( In Numbers),0
240,P49600000072,,Number of Garages ( In Numbers),0
241,P49600000072,,Covered Parking ( In Numbers),0
242,P49600000073,,Number of Garages ( In Numbers),0
243,P49600000073,,Covered Parking ( In Numbers),0
244,P49600000074,,Number of Garages ( In Numbers),0
245,P49600000074,,Covered Parking ( In Numbers),0
246,P49600000075,,Number of Garages ( In Numbers),0
247,P49600000075,,Covered Parking ( In Numbers),0
248,P49600000076,,Number of Garages ( In Numbers),0
249,P49600000076,,Covered Parking ( In Numbers),0
250,P49600000077,,Number of Garages ( In Numbers),0
251,P49600000077,,Covered Parking ( In Numbers),0
252,P49600000078,,Number of Garages ( In Numbers),0
253,P49600000078,,Covered Parking ( In Numbers),0
254,P49600000079,,Number of Garages ( In Numbers),0
255,P49600000079,,Covered Parking ( In Numbers),0
256,P49600000080,,Number of Garages ( In Numbers),0
257,P49600000080,,Covered Parking ( In Numbers),0
258,P49600000081,,Number of Garages ( In Numbers),0
259,P49600000081,,Covered Parking ( In Numbers),44
260,P49600000082,,Number of Garages ( In Numbers),0
261,P49600000082,,Covered Parking ( In Numbers),0
262,P49600000083,,Number of Garages ( In Numbers),0
263,P49600000083,,Covered Parking ( In Numbers),52
264,P49600000084,,Number of Garages ( In Numbers),0
265,P49600000084,,Covered Parking ( In Numbers),0
266,P49600000085,,Number of Garages ( In Numbers),0
267,P49600000085,,Covered Parking ( In Numbers),12
268,P49600000086,,Number of Garages ( In Numbers),0
